objectClass;ou;distinguishedName;name;homeMDB;cn;sn;c;telephoneNumber;facsimileTelephoneNumber;givenName;displayName;co;company;countryCode;employeeID;sAMAccountName;userPrincipalName;manager;mobile;pager;mail;member;groupType;
organizationalUnit;Accounts;OU=Accounts,DC=perimeter,DC=contoso,DC=com;Accounts;;;;;;;;;;;;;;;;;;;;;
organizationalUnit;Disabled;OU=Disabled,OU=Accounts,DC=perimeter,DC=contoso,DC=com;Disabled;;;;;;;;;;;;;;;;;;;;;
organizationalUnit;Internal;OU=Internal,OU=Accounts,DC=perimeter,DC=contoso,DC=com;Internal;;;;;;;;;;;;;;;;;;;;;
organizationalUnit;Trial Users;OU=Trial Users,OU=Accounts,DC=perimeter,DC=contoso,DC=com;Trial Users;;;;;;;;;;;;;;;;;;;;;
organizationalUnit;Employees;OU=Employees,OU=Accounts,DC=perimeter,DC=contoso,DC=com;Employees;;;;;;;;;;;;;;;;;;;;;
user;;CN=todell,OU=Employees,OU=Accounts,DC=perimeter,DC=contoso,DC=com;todell;;todell;ODell;US;+1 650 555 2751;+1 650 555 2000;Tina;;UNITED STATES;Contoso;0;372765;todell;todell@perimeter.contoso.com;;+1 917 555 4698;+1 888 555 1938;todell@Contoso.com;;;
user;;CN=nmirchand,OU=Employees,OU=Accounts,DC=perimeter,DC=contoso,DC=com;nmirchand;;nmirchand;Mirchandani;US;+1 425 555 5453;+1 425 555 1500;Nitin;;UNITED STATES;Contoso;0;869138;nmirchand;nmirchand@perimeter.contoso.com;;+1 917 555 2189;+1 888 555 1116;nmirchand@Contoso.com;;;
user;;CN=sreategui,OU=Employees,OU=Accounts,DC=perimeter,DC=contoso,DC=com;sreategui;;sreategui;Reategui Alayo;US;+1 425 555 9999;+1 425 555 1500;Sandra;;UNITED STATES;Contoso;0;464092;sreategui;sreategui@perimeter.contoso.com;;+1 917 555 8424;+1 888 555 4626;sreategui@Contoso.com;;;
user;;CN=jhenshaw,OU=Employees,OU=Accounts,DC=perimeter,DC=contoso,DC=com;jhenshaw;;jhenshaw;Henshaw;US;+1 425 555 1948;+1 425 555 1500;Jeff;;UNITED STATES;Contoso;0;662156;jhenshaw;jhenshaw@perimeter.contoso.com;;+1 917 555 3220;+1 888 555 9959;jhenshaw@Contoso.com;;;
user;;CN=dbradley,OU=Employees,OU=Accounts,DC=perimeter,DC=contoso,DC=com;dbradley;;dbradley;Bradley;US;+1 650 555 2373;+1 650 555 2000;David;;UNITED STATES;Contoso;0;42399;dbradley;dbradley@perimeter.contoso.com;;+1 917 555 3210;+1 888 555 6409;dbradley@Contoso.com;;;
