objectClass;ou;distinguishedName;name;homeMDB;cn;sn;c;telephoneNumber;facsimileTelephoneNumber;givenName;displayName;co;company;countryCode;employeeID;sAMAccountName;userPrincipalName;manager;mobile;pager;targetAddress;title;l;department;
organizationalUnit;ContosoCorp;OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;ContosoCorp;;;;;;;;;;;;;;;;;;;;;;
organizationalUnit;Solaris Workstation;OU=Solaris Workstation,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;Solaris Workstation;;;;;;;;;;;;;;;;;;;;;;
organizationalUnit;Disabled;OU=Disabled,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;Disabled;;;;;;;;;;;;;;;;;;;;;;
organizationalUnit;Groups;OU=Groups,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;Groups;;;;;;;;;;;;;;;;;;;;;;
organizationalUnit;Employees;OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;Employees;;;;;;;;;;;;;;;;;;;;;;
user;;CN=lsteele,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;lsteele;;lsteele;Steele;UK;+44 1223 555 656;;Laura;Steele, Laura;UNITED KINGDOM;Fabrikam;0;16649;lsteele;lsteele@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:lsteele@fabrikam.com;Engineer;Cambridge;Research & Development;
user;;CN=neketaa,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;neketaa;CN=Second Mailbox Store (SG1);neketaa;Argrow;US;+1 650 555 8918;+1 650 555 4000;NeKeta;Argrow, NeKeta;UNITED STATES;Contoso;0;42391;neketaa;neketaa@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 3444;+1 888 555 9863;;Customer Service Representative;Palo Alto;Customer Service;
user;;CN=dbradley,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;dbradley;CN=First Mailbox Store (SG1);dbradley;Bradley;US;+1 650 555 3542;+1 650 555 9800;David;Bradley, David;UNITED STATES;Contoso;0;42399;dbradley;dbradley@na.corp.contoso.com;;+1 917 555 4443;+1 888 555 6546;;Chief Executive Officer (CEO);Palo Alto;Operations;
user;;CN=tmichaels,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;tmichaels;CN=Second Mailbox Store (SG1);tmichaels;Michaels;US;+1 650 555 4644;+1 650 555 9800;Thomas;Michaels, Thomas;UNITED STATES;Contoso;0;51371;tmichaels;tmichaels@na.corp.contoso.com;CN=janainabb,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 5656;+1 888 555 5469;;Facilities Associate;Palo Alto;Operations;
user;;CN=hvalentin,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;hvalentin;CN=Second Mailbox Store (SG1);hvalentin;Valentine;US;+1 650 555 6576;+1 650 555 9800;H. Brian;Valentine, H. Brian;UNITED STATES;Contoso;0;52379;hvalentin;hvalentin@na.corp.contoso.com;CN=dbradley,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 5660;+1 888 555 6548;;Chief Financial Officer (CFO);Palo Alto;Operations;
user;;CN=janainabb,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;janainabb;CN=First Mailbox Store (SG2);janainabb;Bueno;US;+1 214 555 6929;+1 214 555 6000;Janaina Barreiro Gambaro;Bueno, Janaina Barreiro Gambaro;UNITED STATES;Contoso;0;57339;janainabb;janainabb@na.corp.contoso.com;CN=dbradley,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 214 555 3974;;;Facilities Manager;Dallas;Operations;
user;;CN=aalberts,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;aalberts;CN=First Mailbox Store (SG1);aalberts;Alberts;US;+1 650 555 6865;+1 650 555 4000;Amy;Alberts, Amy;UNITED STATES;Contoso;0;61054;aalberts;aalberts@na.corp.contoso.com;CN=davidolil,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 6777;+1 888 555 3242;;Customer Service Representative;Palo Alto;Customer Service;
user;;CN=jtrenary,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;jtrenary;;jtrenary;Trenary;UK;+44 1223 555 655;;Jean;Trenary, Jean;UNITED KINGDOM;Fabrikam;0;68108;jtrenary;jtrenary@na.corp.contoso.com;CN=juhapekkp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;;;SMTP:jtrenary@fabrikam.com;Research Assistant;Cambridge;Research & Development;
user;;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;tcarlson;CN=Second Mailbox Store (SG2);tcarlson;Carlson;US;+1 650 555 5645;+1 650 555 4000;Ty;Carlson, Ty;UNITED STATES;Contoso;0;83321;tcarlson;tcarlson@na.corp.contoso.com;CN=pauloserp,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 7878;+1 888 555 5675;;Research & Development Manger;Palo Alto;Customer Service;
user;;CN=evelezame,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;evelezame;CN=Second Mailbox Store (SG1);evelezame;Velez Amezaga;US;+1 650 555 6576;+1 650 555 4500;Elena;Velez Amezaga, Elena;UNITED STATES;Contoso;0;85814;evelezame;evelezame@na.corp.contoso.com;CN=tcarlson,OU=Employees,OU=ContosoCorp,DC=na,DC=corp,DC=contoso,DC=com;+1 917 555 7888;+1 888 555 5676;;Research Assistant;Palo Alto;Research & Development;
